# file...... IEEE-13_House_power.csv
# date...... Tue Dec  1 01:37:27 2020
# user...... (null)
# host...... (null)
# group..... class=triplex_load
# property.. constant_power_12
# limit..... 10000
# interval.. 60
# timestamp,tl_house_1,tl_house_16,tl_house_31,tl_house_2,tl_house_17,tl_house_32,tl_house_3,tl_house_18,tl_house_33,tl_house_4,tl_house_19,tl_house_34,tl_house_5,tl_house_20,tl_house_35,tl_house_6,tl_house_21,tl_house_36,tl_house_7,tl_house_22,tl_house_37,tl_house_8,tl_house_23,tl_house_38,tl_house_9,tl_house_24,tl_house_39,tl_house_10,tl_house_25,tl_house_40,tl_house_11,tl_house_26,tl_house_12,tl_house_27,tl_house_13,tl_house_28,tl_house_14,tl_house_29,tl_house_15,tl_house_30
2018-01-01 00:10:00 EST,+306.107+172.856j,+579.96+333.186j,+362.384+186.057j,+1013.19+552.965j,+270.672+941.813j,+636.599+1455.25j,+376.902+202.439j,+574.769+329.41j,+467.567+988.768j,+219.819+104.136j,+542.534+308.644j,+361.625+198.231j,+572.365+335.014j,+296.948+456.049j,+394.974+776.057j,+350.906+875.88j,+636.68+1320.44j,+305.188+881.819j,+601.563+343.845j,+328.46+186.409j,+378.993+961.095j,+428.475+213.963j,+307.533+893.757j,+654.472+1010.64j,+196.085+91.368j,+306.324+175.917j,+227.852+115.569j,+197.739+98.4204j,+216.522+598.274j,+384.944+624.433j,+326.352+176.56j,+398.213+215.073j,+303.371+164.315j,+392.685+920.848j,+260.826+122.67j,+395.625+1054.35j,+189.097+100.007j,+635.094+358.56j,+363.163+907.862j,+635.722+1206.25j
2018-01-01 00:11:00 EST,+306.297+173.085j,+580.325+333.579j,+362.639+186.299j,+1013.57+553.382j,+270.783+941.94j,+636.812+1455.5j,+376.91+202.447j,+574.779+329.422j,+467.578+988.776j,+219.867+104.181j,+542.629+308.747j,+361.691+198.302j,+572.384+335.035j,+296.959+456.061j,+394.988+776.072j,+350.971+875.946j,+636.789+1320.55j,+305.236+881.882j,+601.583+343.869j,+328.471+186.422j,+379.007+961.112j,+428.559+214.045j,+307.586+893.822j,+654.567+1010.79j,+196.016+91.2934j,+306.235+175.803j,+227.776+115.486j,+197.672+98.348j,+216.446+598.199j,+384.812+624.317j,+326.397+176.613j,+398.269+215.135j,+303.471+164.426j,+392.807+921.036j,+260.735+122.586j,+395.504+1054.22j,+189.123+100.045j,+635.183+358.653j,+363.371+908.13j,+636.08+1206.63j
2018-01-01 00:12:00 EST,+306.297+173.085j,+580.325+333.578j,+362.639+186.299j,+1013.57+553.382j,+270.783+941.94j,+636.811+1455.5j,+376.91+202.447j,+574.779+329.422j,+467.578+988.776j,+219.867+104.181j,+542.629+308.747j,+361.691+198.302j,+572.384+335.035j,+296.959+456.061j,+394.988+776.072j,+350.97+875.946j,+636.789+1320.55j,+305.236+881.882j,+601.583+343.869j,+328.471+186.422j,+379.007+961.112j,+428.559+214.045j,+307.586+893.822j,+654.566+1010.79j,+196.016+91.2934j,+306.235+175.803j,+227.776+115.486j,+197.672+98.348j,+216.446+598.199j,+384.812+624.317j,+326.397+176.613j,+398.269+215.134j,+303.471+164.426j,+392.807+921.035j,+260.735+122.586j,+395.504+1054.22j,+189.123+100.045j,+635.183+358.653j,+363.37+908.129j,+636.08+1206.63j
2018-01-01 00:13:00 EST,+306.297+173.085j,+580.325+333.578j,+362.639+186.299j,+1013.57+553.382j,+270.783+941.94j,+636.811+1455.5j,+376.91+202.447j,+574.779+329.422j,+467.578+988.776j,+219.867+104.181j,+542.629+308.747j,+361.691+198.302j,+572.384+335.035j,+296.959+456.061j,+394.988+776.072j,+350.97+875.946j,+636.789+1320.55j,+305.236+881.882j,+601.583+343.869j,+328.471+186.422j,+379.007+961.112j,+428.559+214.045j,+307.586+893.822j,+654.566+1010.79j,+196.016+91.2934j,+306.235+175.803j,+227.776+115.486j,+197.672+98.348j,+216.446+598.199j,+384.812+624.317j,+326.397+176.613j,+398.269+215.134j,+303.471+164.426j,+392.807+921.035j,+260.735+122.586j,+395.504+1054.22j,+189.123+100.045j,+635.183+358.653j,+363.37+908.129j,+636.08+1206.63j
2018-01-01 00:14:00 EST,+306.297+173.085j,+580.325+333.578j,+362.639+186.299j,+1013.57+553.382j,+270.783+941.94j,+636.811+1455.5j,+376.91+202.447j,+574.779+329.422j,+467.578+988.776j,+219.867+104.181j,+542.629+308.747j,+361.691+198.302j,+572.384+335.035j,+296.959+456.061j,+394.988+776.072j,+350.97+875.946j,+636.789+1320.55j,+305.236+881.882j,+601.583+343.869j,+328.471+186.422j,+379.007+961.112j,+428.559+214.045j,+307.586+893.822j,+654.566+1010.79j,+196.016+91.2934j,+306.235+175.803j,+227.776+115.486j,+197.672+98.348j,+216.446+598.199j,+384.812+624.317j,+326.397+176.613j,+398.269+215.134j,+303.471+164.426j,+392.807+921.035j,+260.735+122.586j,+395.504+1054.22j,+189.123+100.045j,+635.183+358.653j,+363.37+908.129j,+636.08+1206.63j
2018-01-01 00:15:00 EST,+306.297+173.085j,+580.325+333.578j,+362.639+186.299j,+1013.57+553.382j,+270.783+941.94j,+636.811+1455.5j,+376.91+202.447j,+574.779+329.422j,+467.578+988.776j,+219.867+104.181j,+542.629+308.747j,+361.691+198.302j,+572.384+335.035j,+296.959+456.061j,+394.988+776.072j,+350.97+875.946j,+636.789+1320.55j,+305.236+881.882j,+601.583+343.869j,+328.471+186.422j,+379.007+961.112j,+428.559+214.045j,+307.586+893.822j,+654.566+1010.79j,+196.016+91.2934j,+306.235+175.803j,+227.776+115.486j,+197.672+98.348j,+216.446+598.199j,+384.812+624.317j,+326.397+176.613j,+398.269+215.134j,+303.471+164.426j,+392.807+921.035j,+260.735+122.586j,+395.504+1054.22j,+189.123+100.045j,+635.183+358.653j,+363.37+908.129j,+636.08+1206.63j
2018-01-01 00:16:00 EST,+306.297+173.085j,+580.325+333.578j,+362.639+186.299j,+1013.57+553.382j,+270.783+941.94j,+636.811+1455.5j,+376.91+202.447j,+574.779+329.422j,+467.578+988.776j,+219.867+104.181j,+542.629+308.747j,+361.691+198.302j,+572.384+335.035j,+296.959+456.061j,+394.988+776.072j,+350.97+875.946j,+636.789+1320.55j,+305.236+881.882j,+601.583+343.869j,+328.471+186.422j,+379.007+961.112j,+428.559+214.045j,+307.586+893.822j,+654.566+1010.79j,+196.016+91.2934j,+306.235+175.803j,+227.776+115.486j,+197.672+98.348j,+216.446+598.199j,+384.812+624.317j,+326.397+176.613j,+398.269+215.134j,+303.471+164.426j,+392.807+921.035j,+260.735+122.586j,+395.504+1054.22j,+189.123+100.045j,+635.183+358.653j,+363.37+908.129j,+636.08+1206.63j
2018-01-01 00:17:00 EST,+306.297+173.085j,+580.325+333.578j,+362.639+186.299j,+1013.57+553.382j,+270.783+941.94j,+636.811+1455.5j,+376.91+202.447j,+574.779+329.422j,+467.578+988.776j,+219.867+104.181j,+542.629+308.747j,+361.691+198.302j,+572.384+335.035j,+296.959+456.061j,+394.988+776.072j,+350.97+875.946j,+636.789+1320.55j,+305.236+881.882j,+601.583+343.869j,+328.471+186.422j,+379.007+961.112j,+428.559+214.045j,+307.586+893.822j,+654.566+1010.79j,+196.016+91.2934j,+306.235+175.803j,+227.776+115.486j,+197.672+98.348j,+216.446+598.199j,+384.812+624.317j,+326.397+176.613j,+398.269+215.134j,+303.471+164.426j,+392.807+921.035j,+260.735+122.586j,+395.504+1054.22j,+189.123+100.045j,+635.183+358.653j,+363.37+908.129j,+636.08+1206.63j
2018-01-01 00:18:00 EST,+306.297+173.085j,+580.325+333.578j,+362.639+186.299j,+1013.57+553.382j,+270.783+941.94j,+636.811+1455.5j,+376.91+202.447j,+574.779+329.422j,+467.578+988.776j,+219.867+104.181j,+542.629+308.747j,+361.691+198.302j,+572.384+335.035j,+296.959+456.061j,+394.988+776.072j,+350.97+875.946j,+636.789+1320.55j,+305.236+881.882j,+601.583+343.869j,+328.471+186.422j,+379.007+961.112j,+428.559+214.045j,+307.586+893.822j,+654.566+1010.79j,+196.016+91.2934j,+306.235+175.803j,+227.776+115.486j,+197.672+98.348j,+216.446+598.199j,+384.812+624.317j,+326.397+176.613j,+398.269+215.134j,+303.471+164.426j,+392.807+921.035j,+260.735+122.586j,+395.504+1054.22j,+189.123+100.045j,+635.183+358.653j,+363.37+908.129j,+636.08+1206.63j
2018-01-01 00:19:00 EST,+306.322+173.115j,+580.373+333.63j,+362.672+186.331j,+1013.49+553.298j,+270.761+941.915j,+636.769+1455.45j,+376.881+202.418j,+574.741+329.379j,+467.538+988.745j,+219.89+104.202j,+542.674+308.796j,+361.722+198.335j,+572.166+334.79j,+296.831+455.928j,+394.83+775.904j,+351.012+875.989j,+636.859+1320.62j,+305.267+881.924j,+601.501+343.771j,+328.427+186.369j,+378.953+961.041j,+428.613+214.098j,+307.621+893.864j,+654.628+1010.89j,+196+91.2757j,+306.214+175.776j,+227.758+115.466j,+197.655+98.3299j,+216.427+598.18j,+384.779+624.288j,+326.374+176.586j,+398.24+215.103j,+303.498+164.456j,+392.84+921.086j,+260.712+122.565j,+395.473+1054.19j,+189.11+100.026j,+635.137+358.605j,+363.401+908.17j,+636.134+1206.68j
